Address,Word,Pattern,Round
66083,0x40,0x00,3
64323,0x80,0x00,3
60212,0x04,0x00,3
52833,0x10,0x00,3
45245,0x10,0x00,3
41070,0x80,0x00,3
40861,0x08,0x00,3
39691,0x80,0x00,3
37645,0x80,0x00,3
36973,0x04,0x00,3
36255,0x01,0x00,3
35043,0x02,0x00,3
34216,0x10,0x00,3
33739,0x80,0x00,3
33633,0x80,0x00,3
30983,0x80,0x00,3
24462,0x80,0x00,3
23724,0x01,0x00,3
22334,0x08,0x00,3
22332,0x08,0x00,3
20593,0x08,0x00,3
20314,0x02,0x00,3
19645,0x80,0x00,3
19593,0x80,0x00,3
17507,0x01,0x00,3
15222,0x08,0x00,3
15193,0x02,0x00,3
14547,0x04,0x00,3
14079,0x40,0x00,3
12278,0x08,0x00,3
12098,0x02,0x00,3
11441,0x40,0x00,3
11433,0x10,0x00,3
10867,0x80,0x00,3
10060,0x02,0x00,3
9344,0x80,0x00,3
8427,0x40,0x00,3
6614,0x01,0x00,3
6488,0x02,0x00,3
4298,0x10,0x00,3
1757,0x10,0x00,3
128168,0xDF,0xFF,4
128067,0xFE,0xFF,4
127760,0xEF,0xFF,4
127485,0xBF,0xFF,4
125786,0xDF,0xFF,4
122827,0xDF,0xFF,4
120472,0xFB,0xFF,4
118958,0xFB,0xFF,4
118432,0xFD,0xFF,4
113283,0x7F,0xFF,4
110555,0xDF,0xFF,4
107471,0xFE,0xFF,4
102563,0xBF,0xFF,4
99697,0xFD,0xFF,4
95848,0xF7,0xFF,4
91047,0xF7,0xFF,4
80689,0xFD,0xFF,4
80323,0x7F,0xFF,4
77188,0xBF,0xFF,4
69270,0xEF,0xFF,4
68095,0xFD,0xFF,4
66170,0xF7,0xFF,4
64867,0xBF,0xFF,4
62504,0xFD,0xFF,4
52974,0xFD,0xFF,4
48760,0xFB,0xFF,4
47968,0x7F,0xFF,4
45895,0xF7,0xFF,4
44874,0xF7,0xFF,4
43263,0xFE,0xFF,4
43083,0x7F,0xFF,4
35631,0xF7,0xFF,4
26156,0xBF,0xFF,4
24371,0xDF,0xFF,4
24106,0xBF,0xFF,4
17015,0xF7,0xFF,4
16196,0xFB,0xFF,4
14761,0xEF,0xFF,4
10762,0xEF,0xFF,4
6074,0xEF,0xFF,4
6008,0xBF,0xFF,4
859,0xFD,0xFF,4
23911,0x10,0x00,5
24315,0x08,0x00,5
24940,0x04,0x00,5
30371,0x08,0x00,5
45824,0x01,0x00,5
52412,0x20,0x00,5
61375,0x20,0x00,5
61398,0x01,0x00,5
66622,0x04,0x00,5
68949,0x02,0x00,5
74001,0x80,0x00,5
77743,0x01,0x00,5
86387,0x80,0x00,5
91598,0x01,0x00,5
101041,0x02,0x00,5
103876,0x01,0x00,5
103905,0x40,0x00,5
103950,0x01,0x00,5
104434,0x08,0x00,5
104660,0x02,0x00,5
107493,0x10,0x00,5
107776,0x10,0x00,5
110987,0x40,0x00,5
114369,0x40,0x00,5
115687,0x08,0x00,5
117523,0x02,0x00,5
117748,0x02,0x00,5
119571,0x02,0x00,5
122877,0x20,0x00,5
123326,0x08,0x00,5
126792,0x20,0x00,5
127954,0x02,0x00,5
25695,0x08,0x00,6
25937,0x02,0x00,6
32086,0x01,0x00,6
43081,0x04,0x00,6
47214,0x01,0x00,6
50310,0x80,0x00,6
54917,0x80,0x00,6
56949,0x08,0x00,6
57918,0x40,0x00,6
59669,0x80,0x00,6
69336,0x04,0x00,6
74875,0x80,0x00,6
74953,0x20,0x00,6
79886,0x10,0x00,6
85567,0x02,0x00,6
86028,0x08,0x00,6
88869,0x20,0x00,6
92402,0x80,0x00,6
94450,0x80,0x00,6
103931,0x08,0x00,6
111431,0x04,0x00,6
112056,0x20,0x00,6
112359,0x40,0x00,6
113391,0x02,0x00,6
113809,0x04,0x00,6
116131,0x40,0x00,6
119940,0x01,0x00,6
122953,0x04,0x00,6
125001,0x04,0x00,6
129793,0x01,0x00,6
130394,0x80,0x00,6
1586,0xEF,0xFF,7
2937,0xFE,0xFF,7
3584,0xDF,0xFF,7
10455,0xFB,0xFF,7
12679,0xFE,0xFF,7
12737,0xFB,0xFF,7
13305,0x7F,0xFF,7
13438,0xEF,0xFF,7
14486,0xBF,0xFF,7
14852,0xBF,0xFF,7
15486,0xEF,0xFF,7
17550,0xF7,0xFF,7
18601,0xFE,0xFF,7
22159,0xF7,0xFF,7
24482,0x7F,0xFF,7
28188,0xF7,0xFF,7
28936,0xDF,0xFF,7
30122,0xFB,0xFF,7
30244,0xF7,0xFF,7
43977,0xFE,0xFF,7
44658,0x7F,0xFF,7
46677,0xFE,0xFF,7
51081,0xEF,0xFF,7
52024,0xFE,0xFF,7
55279,0x7F,0xFF,7
56801,0xFD,0xFF,7
60573,0xBF,0xFF,7
61020,0xEF,0xFF,7
61035,0xFE,0xFF,7
61093,0xFB,0xFF,7
62618,0x7F,0xFF,7
63987,0x7F,0xFF,7
66210,0xFB,0xFF,7
67203,0x7F,0xFF,7
69022,0xFB,0xFF,7
71317,0x7F,0xFF,7
77262,0x7F,0xFF,7
79022,0xFB,0xFF,7
80532,0xFB,0xFF,7
82177,0xFD,0xFF,7
83349,0xFD,0xFF,7
85452,0xFB,0xFF,7
88243,0xFB,0xFF,7
88475,0xFE,0xFF,7
90726,0xFE,0xFF,7
91952,0xDF,0xFF,7
92081,0xFE,0xFF,7
93392,0x7F,0xFF,7
105301,0xF7,0xFF,7
106228,0xF7,0xFF,7
108329,0xF7,0xFF,7
114654,0xF7,0xFF,7
116716,0xFB,0xFF,7
118841,0xF7,0xFF,7
119131,0xF7,0xFF,7
123511,0xFD,0xFF,7
125352,0xEF,0xFF,7
125612,0xF7,0xFF,7
128058,0x7F,0xFF,7
129272,0xFE,0xFF,7
129430,0x7F,0xFF,7
129645,0x04,0x00,8
105331,0x08,0x00,8
99212,0x04,0x00,8
89881,0x02,0x00,8
88498,0x80,0x00,8
87435,0x02,0x00,8
86799,0x80,0x00,8
84291,0x10,0x00,8
81317,0x04,0x00,8
80809,0x08,0x00,8
74436,0x02,0x00,8
66665,0x40,0x00,8
63033,0x01,0x00,8
60820,0x80,0x00,8
58812,0x10,0x00,8
53644,0x08,0x00,8
48496,0x20,0x00,8
48406,0x01,0x00,8
44448,0x04,0x00,8
41988,0x08,0x00,8
38798,0x40,0x00,8
38794,0x40,0x00,8
38792,0x40,0x00,8
32876,0x01,0x00,8
30695,0x40,0x00,8
29624,0x08,0x00,8
29597,0x08,0x00,8
28759,0x40,0x00,8
25999,0x20,0x00,8
24821,0x80,0x00,8
22996,0x02,0x00,8
22479,0x08,0x00,8
19419,0x40,0x00,8
18547,0x10,0x00,8
18330,0x80,0x00,8
15130,0x08,0x00,8
12940,0x08,0x00,8
10209,0x04,0x00,8
10092,0x10,0x00,8
8852,0x20,0x00,8
8466,0x20,0x00,8
8260,0x20,0x00,8
7153,0x80,0x00,8
5498,0x01,0x00,8
4930,0x20,0x00,8
4395,0x08,0x00,8
954,0x80,0x00,8
517,0x40,0x00,8
128592,0xBF,0xFF,9
127587,0xBF,0xFF,9
127582,0xFB,0xFF,9
125534,0xFB,0xFF,9
125512,0xFD,0xFF,9
120734,0xDF,0xFF,9
115923,0x7F,0xFF,9
115790,0xFE,0xFF,9
112157,0xEF,0xFF,9
111808,0x7F,0xFF,9
102672,0xFB,0xFF,9
101159,0x7F,0xFF,9
95444,0xF7,0xFF,9
87710,0xEF,0xFF,9
85661,0xFB,0xFF,9
77142,0xF7,0xFF,9
65492,0xEF,0xFF,9
59961,0xDF,0xFF,9
57631,0xBF,0xFF,9
54647,0xFE,0xFF,9
53716,0xFD,0xFF,9
46770,0x7F,0xFF,9
46311,0xEF,0xFF,9
42156,0xFB,0xFF,9
39401,0x7F,0xFF,9
37789,0xBF,0xFF,9
33232,0xBF,0xFF,9
31453,0xBF,0xFF,9
26277,0xDF,0xFF,9
24874,0xFE,0xFF,9
23051,0xF7,0xFF,9
19169,0xFE,0xFF,9
18342,0xFB,0xFF,9
18047,0xFE,0xFF,9
15009,0x7F,0xFF,9
14069,0xFE,0xFF,9
6374,0xDF,0xFF,9
4376,0xDF,0xFF,9
4335,0xBF,0xFF,9
1993,0xEF,0xFF,9
26687,0x10,0x00,10
32441,0x04,0x00,10
44192,0x04,0x00,10
47201,0x80,0x00,10
65997,0x80,0x00,10
67149,0x40,0x00,10
67427,0x10,0x00,10
69950,0x04,0x00,10
70605,0x80,0x00,10
83433,0x02,0x00,10
86196,0x20,0x00,10
88469,0x08,0x00,10
89696,0x80,0x00,10
93929,0x80,0x00,10
95321,0x08,0x00,10
95406,0x02,0x00,10
96341,0x20,0x00,10
97517,0x80,0x00,10
98069,0x40,0x00,10
101713,0x08,0x00,10
102481,0x02,0x00,10
103636,0x02,0x00,10
104365,0x04,0x00,10
108565,0x20,0x00,10
108764,0x10,0x00,10
109829,0x40,0x00,10
110513,0x04,0x00,10
113860,0x04,0x00,10
117925,0x20,0x00,10
121179,0x01,0x00,10
123230,0x08,0x00,10
124007,0x80,0x00,10
125123,0x10,0x00,10
129980,0x02,0x00,10
130268,0x10,0x00,10
